 Train loader - 117 batches:
Validation loader - 13 batches
Model initialized
epoch 001 (step 000000) | train_loss=9.423 | val_loss=9.396
epoch 001 (step 000005) | train_loss=7.411 | val_loss=7.287
epoch 001 (step 000010) | train_loss=6.358 | val_loss=6.433
epoch 001 (step 000015) | train_loss=6.122 | val_loss=6.260
epoch 001 (step 000020) | train_loss=6.055 | val_loss=6.131
epoch 001 (step 000025) | train_loss=5.886 | val_loss=6.075
epoch 001 (step 000030) | train_loss=5.758 | val_loss=5.976
epoch 001 (step 000035) | train_loss=5.648 | val_loss=5.858
epoch 001 (step 000040) | train_loss=5.607 | val_loss=5.862
epoch 001 (step 000045) | train_loss=5.424 | val_loss=5.574
epoch 001 (step 000050) | train_loss=5.525 | val_loss=5.581
epoch 001 (step 000055) | train_loss=5.446 | val_loss=5.584
epoch 001 (step 000060) | train_loss=5.239 | val_loss=5.517
epoch 001 (step 000065) | train_loss=5.067 | val_loss=5.550
epoch 001 (step 000070) | train_loss=5.208 | val_loss=5.577
epoch 001 (step 000075) | train_loss=5.178 | val_loss=5.446
epoch 001 (step 000080) | train_loss=5.026 | val_loss=5.497
epoch 001 (step 000085) | train_loss=5.105 | val_loss=5.457
epoch 001 (step 000090) | train_loss=4.974 | val_loss=5.249
epoch 001 (step 000095) | train_loss=5.123 | val_loss=5.348
epoch 001 (step 000100) | train_loss=5.116 | val_loss=5.287
epoch 001 (step 000105) | train_loss=4.890 | val_loss=5.473
epoch 001 (step 000110) | train_loss=4.941 | val_loss=5.382
epoch 001 (step 000115) | train_loss=4.831 | val_loss=5.334
Every effort moves youvemed agentienfif del of e-pts of ther averare average, a a a widel and there thesumy werever
epoch 002 (step 000120) | train_loss=4.735 | val_loss=5.355
epoch 002 (step 000125) | train_loss=4.788 | val_loss=5.242
epoch 002 (step 000130) | train_loss=4.826 | val_loss=5.246
epoch 002 (step 000135) | train_loss=4.822 | val_loss=5.415
epoch 002 (step 000140) | train_loss=4.728 | val_loss=5.260
epoch 002 (step 000145) | train_loss=4.604 | val_loss=5.322
epoch 002 (step 000150) | train_loss=4.694 | val_loss=5.290
epoch 002 (step 000155) | train_loss=4.829 | val_loss=5.334
epoch 002 (step 000160) | train_loss=4.685 | val_loss=5.283
epoch 002 (step 000165) | train_loss=4.654 | val_loss=5.115
epoch 002 (step 000170) | train_loss=4.512 | val_loss=5.301
epoch 002 (step 000175) | train_loss=4.412 | val_loss=5.045
epoch 002 (step 000180) | train_loss=4.654 | val_loss=5.176
epoch 002 (step 000185) | train_loss=4.475 | val_loss=5.114
epoch 002 (step 000190) | train_loss=4.550 | val_loss=5.120
epoch 002 (step 000195) | train_loss=4.549 | val_loss=5.032
epoch 002 (step 000200) | train_loss=4.526 | val_loss=5.105
epoch 002 (step 000205) | train_loss=4.389 | val_loss=5.167
epoch 002 (step 000210) | train_loss=4.567 | val_loss=5.152
